worksheet_row,source_field_name,oscal_model,workbook_target,canonical_runtime_target,live_populated_rows,live_shape,mapping_status,runtime_status,duplicate_of,decision,reference
18,COMPLIANCE_RATING,Assessment Results,assessment-results.result.reviewed-controls.control-selection.reviewed-control[@control-id].prop[@name='compliance-rating'],assessment-results.results[].reviewed-controls,148,OBJECT,MAPPED_TO_ASSESSMENT_RESULTS,MAPPED_PENDING_CONTROL_IDENTITY,,Preserve workbook intent under reviewed-controls. Do not fabricate a control-id. Current Source field is source-level and lacks a per-control identity; runtime activation waits for a valid control-selection identity join.,https://pages.nist.gov/OSCAL-Reference/models/v1.2.0/assessment-results/xml-index/
20,COUNT_OF_NONCOMPLIANT_CONTROLS,Assessment Results,assessment-results.result.prop[@name='noncompliant-count'],assessment-results.results[].props[],148,INTEGER,MAPPED_TO_ASSESSMENT_RESULTS,IMPLEMENTED_COMMITTED,,Committed as result property noncompliant-count and read-back verified on 2026-09-17.,docs/checkpoints/2026-09-17-source2-source-assessment-results-commit-readback-verified.md
21,PCT_OF_NONCOMPLIANT_CONTROLS,Assessment Results,assessment-results.result.prop[@name='noncompliant-percentage'],assessment-results.results[].props[],0,NULL_VALUE,MAPPED_TO_ASSESSMENT_RESULTS,RUNTIME_READY_EMPTY,,Approved as result property noncompliant-percentage. Current snapshot is empty so this mapping emits nothing until populated.,Mapping/SOURCE2_SOURCE_MAPPING.csv
22,_OF_NONCOMPLIANT_CONTROLS,Assessment Results,assessment-results.result.prop[@name='noncompliant-count'],,0,NULL_VALUE,DUPLICATE_ALIAS_EXCLUDED,EXCLUDED_DUPLICATE,COUNT_OF_NONCOMPLIANT_CONTROLS,Do not execute this truncated duplicate-looking field. The canonical noncompliant-count mapping is row 20 only; this prevents duplicate DIM/property materialization.,Mapping/SOURCE2_SOURCE_MAPPING.csv
24,FINDINGS,Assessment Results,assessment-results.result.finding[@uuid],assessment-results.results[].findings[],0,NULL_VALUE,MAPPED_TO_ASSESSMENT_RESULTS,RUNTIME_READY_EMPTY,,Canonical branch is results[].findings[]. The runtime uses referenced ContentId as the collection identity and deterministic OSCAL UUID generation. Current snapshot is empty, so no finding nodes are emitted; unexpected future shape blocks rather than creating duplicate findings.,sql/registry/ENABLE_ASSESSMENT_RESULTS_FINDINGS_REFERENCE.sql
25,FINDINGS_AUTHORITATIVE_SOURCES,Assessment Results,assessment-results.result.finding.related-observation,assessment-results.results[].findings[].related-observations[],0,NULL_VALUE,MAPPED_TO_ASSESSMENT_RESULTS,MAPPED_PENDING_OBSERVATION_IDENTITY,,Canonical relationship is finding to related observation. Do not create duplicate observations or invent observation UUIDs; runtime waits for the related observation identity contract.,https://pages.nist.gov/OSCAL-Reference/models/v1.2.0/assessment-results/xml-index/
26,CONTROL_TESTING_RESULTS_FAILED_EXTERNAL_CONTROL_REQUIREMENT,Assessment Results,assessment-results.result.finding.collected.prop[@name='test-result'],assessment-results.results[].findings[].props[],0,NULL_VALUE,MAPPED_TO_ASSESSMENT_RESULTS,MAPPED_PENDING_FINDING_PARENT,,Preserve the workbook's test-result intent on the finding branch. Runtime uses a named finding property rather than inventing a collected timestamp from a non-date field; activation waits for finding parent identity.,Mapping/SOURCE2_SOURCE_MAPPING.csv
27,DEVIATIONS_AUTHORITATIVE_SOURCES,Assessment Results,assessment-results.result.finding[@uuid].prop[@name='deviation'],assessment-results.results[].findings[].props[],0,NULL_VALUE,MAPPED_TO_ASSESSMENT_RESULTS,MAPPED_PENDING_FINDING_PARENT,,Map as named finding property deviation once a finding parent identity exists. Empty current source does not cancel the mapping.,Mapping/SOURCE2_SOURCE_MAPPING.csv
28,DEVIATIONS_AUTHORITATIVE_SOURCES_LINKED_TO_CONTROL_STANDARDS,Assessment Results,assessment-results.result.finding.related-observation.relevant-evidence.link,assessment-results.results[].findings[].related-observations[],21,ARRAY,MAPPED_TO_ASSESSMENT_RESULTS,MAPPED_PENDING_CONTROL_RELATIONSHIP_IDENTITY,,Preserve as a finding/control relationship input. The live array contains control-standard identifiers; do not serialize them as hrefs or create duplicate controls. Resolve to observation/control identities before runtime output.,https://pages.nist.gov/OSCAL-Reference/models/v1.2.0/assessment-results/xml-index/
42,EVIDENCE_REPOSITORY,Assessment Results,assessment-results.result.finding.relevant-evidence.link.href,assessment-results.results[].observations[].relevant-evidence[],0,NULL_VALUE,MAPPED_TO_ASSESSMENT_RESULTS,MAPPED_PENDING_EVIDENCE_URI,,Workbook intent is evidence linkage. OSCAL relevant-evidence belongs to observations; preserve the source mapping intent and require an observation parent plus URI-reference before runtime materialization.,https://pages.nist.gov/OSCAL-Reference/models/v1.2.0/assessment-results/xml-index/
