worksheet_row,source_field_name,workbook_model,live_populated_rows,live_shape,final_status,runtime_or_review_target,decision
2,SOURCE_NAME,Catalog - Metadata,148,VARCHAR,IMPLEMENTED_COMMITTED,catalog.metadata.title,Already committed and read-back verified.
3,SOURCE_VERSION,Catalog - Metadata,148,VARCHAR,IMPLEMENTED_COMMITTED,catalog.metadata.version,Already committed and read-back verified.
4,SOURCE_DESCRIPTION,Catalog - Metadata,148,VARCHAR,PENDING_SHARED_TARGET_DECISION,catalog.metadata.remarks,Leave unresolved with INFORMATION because both workbook rows target the same singleton remarks member; do not overwrite or concatenate silently.
5,SOURCE_TRACKING_ID,Catalog - Metadata,148,INTEGER,RUNTIME_PROMOTED_PREVIEW_PENDING,catalog.metadata.props[],Promoted as property name tracking-id; preserve scalar identifier and do not coerce it to OSCAL UUID. Live preview/commit of this new row is still pending.
6,SOURCE_LINKS,Catalog - Back Matter,62,"ARRAY, NULL_VALUE",DEFER_SOURCE_SHAPE,catalog.back-matter.resources[],Array is populated but item contract/href semantics were not proven by the current evidence; retain for Back Matter follow-up.
7,INFORMATION,Catalog - Metadata,0,NULL_VALUE,PENDING_SHARED_TARGET_DECISION,catalog.metadata.remarks,Leave paired with SOURCE_DESCRIPTION pending the shared-target decision; current snapshot is unpopulated.
8,DISCLAIMER,Catalog - Metadata,140,"VARCHAR, NULL_VALUE",IMPLEMENTED_COMMITTED,catalog.metadata.props[],Already committed as property disclaimer.
9,TOPIC_REFERENCES,Catalog - Back Matter,148,ARRAY,RELATIONSHIP_INPUT,Source->Topic relationship,Live array is relationship evidence; do not serialize as citation text. Use for cross-table Source-to-Topic ownership.
10,ATTACHMENTS,Catalog - Back Matter,0,NULL_VALUE,DEFER_UNPOPULATED,catalog.back-matter.resources[],No runtime output in current snapshot; retain workbook intent for future populated data.
11,CONTROL_STANDARDS,Catalog,6,ARRAY,RELATIONSHIP_INPUT,Catalog controls/hierarchy,Live array contains integer items; requires target control identity before materialization.
12,CONTROL_STANDARDS_FROM_TOPIC_SECTION_AND_SUBSECTION_LEVELS,Catalog,21,ARRAY,RELATIONSHIP_INPUT,Catalog descendant control hierarchy,Live array contains object items; resolve after Topic/Section/Sub-Section hierarchy to avoid duplicate control materialization.
13,CONTROL_STANDARDS__FROM_TOPIC_SECTION_AND_SUBSECTION_LEVELS,Catalog,0,ABSENT_OR_NULL,DEFER_UNPOPULATED_ALIAS_CHECK,Catalog descendant control hierarchy,Extra-underscore source key is currently unpopulated/absent; keep distinct from row 12 and do not infer alias equivalence.
14,MASTER_CONTROLS_AUTHORITATIVE_SOURCES,Catalog,0,NULL_VALUE,DEFER_UNPOPULATED,Catalog control related link,No runtime output in current snapshot.
15,CONTROL_PROCEDURES,Catalog or Component Definition,22,"ARRAY, NULL_VALUE",BLOCKED_MODEL_AMBIGUITY,Workbook Catalog-or-Component-Definition alternative,Workbook itself has two model alternatives and live data is populated; do not choose one silently.
16,RELATED_CONTROL_PROCEDURES,Catalog,21,"ARRAY, NULL_VALUE",RELATIONSHIP_INPUT,Catalog control related link,Live object-array relationship requires target procedure identity and link semantics.
17,NUMBER_OF_CONTROL_STANDARDS_SOURCE_LEVEL,Catalog - Metadata,148,INTEGER,IMPLEMENTED_COMMITTED,catalog.metadata.props[],Already committed as property control-count.
18,COMPLIANCE_RATING,Assessment Results,148,OBJECT,MODEL_GRAIN_REQUIRED,assessment-results.result reviewed-control compliance-rating,Live Archer select is fully lookup-resolvable; source-level record does not identify a reviewed-control instance, so preserve for Assessment Results grain resolution rather than attaching to an arbitrary control.
19,COUNT_OF_CONTROLS,Catalog - Metadata,148,INTEGER,IMPLEMENTED_COMMITTED,catalog.metadata.props[],Already committed as property total-controls.
20,COUNT_OF_NONCOMPLIANT_CONTROLS,Assessment Results,148,INTEGER,MODEL_GRAIN_REQUIRED,assessment-results.result.props[],Scalar aggregate is mapping-ready in shape but requires the Assessment Results result identity/grain for Source-level records.
21,PCT_OF_NONCOMPLIANT_CONTROLS,Assessment Results,0,ABSENT_OR_NULL,DEFER_UNPOPULATED,assessment-results.result.props[],No runtime output in current snapshot.
22,_OF_NONCOMPLIANT_CONTROLS,Assessment Results,0,NULL_VALUE,DEFER_UNPOPULATED_AMBIGUOUS_ALIAS,assessment-results.result.props[],Workbook describes a duplicate/truncated name; no current value. Do not infer count versus percentage.
23,RELATED_TO_KEY_CONTROLS,Catalog,148,INTEGER,REMAP_REQUIRED,Catalog control property key-control,Source-level scalar does not identify the specific control that should own the property; do not attach to arbitrary controls.
24,FINDINGS,Assessment Results,0,NULL_VALUE,DEFER_UNPOPULATED,assessment-results.result.findings[],No runtime output in current snapshot.
25,FINDINGS_AUTHORITATIVE_SOURCES,Assessment Results,0,NULL_VALUE,DEFER_UNPOPULATED,Assessment Results finding relationship,No runtime output in current snapshot.
26,CONTROL_TESTING_RESULTS_FAILED_EXTERNAL_CONTROL_REQUIREMENT,Assessment Results,0,NULL_VALUE,DEFER_UNPOPULATED,Assessment Results finding collected property,No runtime output in current snapshot.
27,DEVIATIONS_AUTHORITATIVE_SOURCES,Assessment Results,0,NULL_VALUE,DEFER_UNPOPULATED,Assessment Results finding deviation property,No deviation parent is populated in the current snapshot.
28,DEVIATIONS_AUTHORITATIVE_SOURCES_LINKED_TO_CONTROL_STANDARDS,Assessment Results,21,"ARRAY, NULL_VALUE",RELATIONSHIP_INPUT,Assessment Results deviation/control relationship,Live integer-array relationship is populated while row 27 deviation parent is empty; retain as relationship evidence and do not create orphan finding nodes.
29,SOURCE_TYPE,Catalog - Metadata,145,"OBJECT, NULL_VALUE",IMPLEMENTED_COMMITTED,catalog.metadata.props[],Already committed as Archer-select property source-type; lookup coverage has zero unmatched IDs.
30,CRITICALITY,Catalog - Metadata,79,"OBJECT, NULL_VALUE",IMPLEMENTED_COMMITTED,catalog.metadata.props[],Already committed as Archer-select property criticality; lookup coverage has zero unmatched IDs.
31,SOURCE_CRITICALITY_VALUE,Catalog - Metadata,148,INTEGER,IMPLEMENTED_COMMITTED,catalog.metadata.props[],Already committed as property criticality-value.
32,AUTH_SOURCES_FILTER,Catalog - Metadata,148,OBJECT,IMPLEMENTED_COMMITTED,catalog.metadata.props[],Already committed as Archer-select property filter-category; lookup coverage has zero unmatched IDs.
33,POLICIES_AUTHORITATIVE_SOURCE_REFERENCES,Component Definition,11,"ARRAY, NULL_VALUE",RELATIONSHIP_INPUT,component-definition policy link,Live integer-array relationship is populated; Component Definition component identity and link target contract must own it.
34,POLICY_LEVEL_3,Component Definition,0,NULL_VALUE,DEFER_UNPOPULATED,component-definition component property policy-level,No runtime output in current snapshot.
35,POLICY_LEVEL_3_FROM_TOPIC_SECTION_AND_SUBSECTION_LEVELS,Component Definition,23,"ARRAY, NULL_VALUE",RELATIONSHIP_INPUT,Component Definition descendant-policy relationship,Live relationship depends on Topic/Section/Sub-Section hierarchy and component identity.
36,POLICY_LEVEL_3__FROM_TOPIC_SECTION_AND_SUBSECTION_LEVELS,Component Definition,0,ABSENT_OR_NULL,DEFER_UNPOPULATED_ALIAS_CHECK,Component Definition descendant-policy relationship,Extra-underscore source key is currently empty/absent; keep distinct and do not infer alias equivalence.
37,LINKED_TO_POLICY_SOURCE_LEVEL,Component Definition,148,OBJECT,REMAP_REQUIRED,component-definition component link source-policy,Live value is an Archer select object with fully resolved IDs; a resolved label is not automatically an OSCAL link href, so link semantics must be defined first.
38,NUMBER_OF_POLICIES_SOURCE_LEVEL,Component Definition,148,INTEGER,MODEL_GRAIN_REQUIRED,component-definition component property policy-count,Scalar shape is ready but a Source-level record does not yet identify which Component Definition component owns the count.
39,ENGAGEMENT_SCOPE_IN_CONTROL_SOURCE,Assessment Plan,148,OBJECT,MODEL_GRAIN_REQUIRED,assessment-plan local activity property scope,Archer select lookup coverage is complete; requires the Assessment Plan activity identity/grain before runtime materialization.
40,COMPLIANCE_ENGAGEMENTS_SCOPE_PROCEDURES_FROM_SELECTED_AUTHORITATIVE_SOURCES,Assessment Plan,0,NULL_VALUE,DEFER_UNPOPULATED,assessment-plan local activity step,No runtime output in current snapshot.
