worksheet_row,source_field_name,review_status,candidate_runtime_target,candidate_transform,property_name,decision,evidence_needed
2,TOPIC_NAME,READY_CANDIDATE,catalog.groups[].title,text,,Workbook maps topic title to Catalog group title; NIST Catalog groups expose a required title. Parent Source->Topic attachment still needs live relationship proof.,Verify physical Topic RAW binding and nonblank population.
3,TOPIC_ID,NEEDS_TRANSFORM_EVIDENCE,catalog.groups[].id,TBD,,Workbook requires normalized group identifier. Current reusable identifier transform only preserves scalar text and does not normalize to a token.,Profile populated TOPIC_ID shapes and duplicates before choosing a generic token-normalization rule.
4,TOPIC_TRACKING_ID,READY_CANDIDATE,catalog.groups[].props[],direct,tracking-id,Preserve numeric/scalar tracking identifier as a named group property.,Verify populated source shape is scalar.
5,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_TOPIC_CONTENT_ID,DEFERRED_IDENTITY_DUPLICATION,,,archer-content-id,The row is clipped and RAW CONTENT_ID is expected to be the warehouse source identity. Do not duplicate it inside OSCAL until the owner decides that traceability requires it.,Verify whether the long prefixed field exists in CURATED_JSON and whether RAW CONTENT_ID alone is sufficient.
6,DOCUMENT_NUMBER,DEFERRED_SOURCE_TEXT,,,,The workbook target path is clipped. Do not infer the missing tail even though the note describes a document-number property.,Recover exact workbook target path and inspect live source shape.
7,SOURCE_NAME_CALC_FIELD,PARENT_CONTEXT_ONLY,,,,Calculated parent Source name should not overwrite Catalog metadata title from the already committed Source record. Treat it as parent-resolution/context evidence.,Verify relation to SOURCE_REFERENCES and owning Source record.
8,CONTENT_SOURCE,READY_CANDIDATE,catalog.groups[].props[],archer-select,content-source,Map the resolved Archer content-source label as a named group property if the live source is a select container; use direct text only if live shape proves scalar text.,Inspect live TYPEOF/shape and lookup coverage.
9,TOPIC_DESCRIPTION,NEEDS_GENERIC_PARTS_SUPPORT,catalog.groups[].parts[].prose,text,,Workbook maps description to a named overview part. Preserve that intent; current registry operators do not yet provide a generic named-part collection contract.,Verify source text population; design generic parts operator/identity with constant name=overview.
10,INFORMATION,NEEDS_GENERIC_PARTS_SUPPORT,catalog.groups[].parts[].prose,text,,Workbook maps additional information to a separate named information part. Do not merge it with TOPIC_DESCRIPTION.,Verify source text population; design generic parts operator/identity with constant name=information.
11,CRITICALITY,READY_CANDIDATE,catalog.groups[].props[],archer-select,criticality,Map resolved criticality label as a named group property.,Inspect live select/scalar shape and lookup coverage.
12,TOPIC_CRITICALITY_VALUE,READY_CANDIDATE,catalog.groups[].props[],direct,criticality-value,Preserve scalar criticality value as a named group property.,Verify source shape is scalar and finite.
13,SOURCE_REFERENCES,PARENT_LINK_INPUT,,,,This is the critical Source->Topic ownership input. It must identify the already committed Source Catalog parent; it is not a second metadata.title mapping.,Verify item shape ContentId/LevelId cardinality and 100% join coverage to Source RAW CONTENT_ID.
14,SECTION_REFERENCES,CHILD_LINK_INPUT,,,,Represents Topic->Section hierarchy evidence. Do not materialize child groups until the Section table is in scope.,Verify reference shape and later Section CONTENT_ID coverage.
15,TOTAL_NUMBER_OF_SECTIONS,READY_CANDIDATE,catalog.groups[].props[],direct,section-count,Preserve scalar child-section count as a named group property.,Verify source shape is scalar and compare with actual Section relationship count later.
16,CONTROL_STANDARDS,DEFERRED_RELATIONSHIP,,,,Controls are separate referenced entities and require verified identity/ownership before they can be placed under a Topic group.,Inspect populated reference shape and target control source.
17,CONTROL_STANDARDS_FROM_SECTION_AND_SUBSECTION_LEVELS,DEFERRED_HIERARCHY,,,,Descendant control roll-up must be resolved only after Section/Sub-Section hierarchy is assembled to avoid duplicate controls.,Verify source text tail and later hierarchy semantics.
18,MASTER_CONTROLS_AUTHORITATIVE_SOURCES,DEFERRED_RELATIONSHIP,,,,Relationship to master controls needs target identity and link semantics before runtime mapping.,Inspect populated reference shape and target source.
19,NUMBER_OF_CONTROL_STANDARDS_TOPIC_LEVEL,READY_CANDIDATE,catalog.groups[].props[],direct,control-count,Preserve scalar topic-level control count as a named group property.,Verify source shape is scalar.
20,CONTROL_PROCEDURES,BLOCKED_SOURCE_TEXT,,,,Workbook model/path contains clipped alternatives. Do not choose Catalog versus Component Definition silently.,Recover exact workbook model/path and inspect live source shape.
21,RELATED_CONTROL_PROCEDURES,DEFERRED_RELATIONSHIP,,,,Cross-reference needs target identity and approved link relation.,Inspect populated reference shape and target source.
22,COMPLIANCE_RATING,DEFERRED_OTHER_MODEL,,,,Assessment Results mapping is outside the current Catalog Topic increment and the workbook target path is clipped.,Resolve later with Assessment Results grain/ownership.
23,PCT_OF_NONCOMPLIANT_CONTROLS,DEFERRED_OTHER_MODEL,,,,Assessment Results mapping is outside the current Catalog Topic increment and the workbook target path is clipped.,Resolve later with Assessment Results grain/ownership.
24,COUNT_OF_CONTROLS,READY_CANDIDATE,catalog.groups[].props[],direct,total-controls,Preserve scalar total controls count as a named Topic group property.,Verify source shape is scalar.
25,COUNT_OF_NONCOMPLIANT_CONTROLS,DEFERRED_OTHER_MODEL,,,,Assessment Results mapping is outside the current Catalog Topic increment and the workbook target path is clipped.,Resolve later with Assessment Results grain/ownership.
26,RELATED_TO_KEY_CONTROLS,REMAP_REQUIRED,,,,Workbook proposes a property on a specific control but the Topic-level scalar does not itself identify a control. Do not attach it to arbitrary controls.,Confirm business meaning and grain.
27,FINDINGS,DEFERRED_OTHER_MODEL,,,,Assessment Results findings require finding identity and parent-result ownership; current Catalog Topic work should only retain the evidence.,Inspect populated reference shape when Assessment Results is resumed.
28,CONTROL_TESTING_RESULTS_FAILED_EXTERNAL_CONTROL_REQUIREMENT,DEFERRED_OTHER_MODEL,,,,Assessment Results path/cardinality are clipped and finding membership is unproved.,Recover source text and source shape later.
29,DEVIATIONS_AUTHORITATIVE_SOURCES,DEFERRED_OTHER_MODEL,,,,Deviation semantics remain model/SME governed and the target path is clipped.,Recover source text and source shape later.
30,DEVIATIONS_TOPICS_LINKED_HELPER,DEFERRED_OTHER_MODEL,,,,Helper/reference semantics are unproved and the target path is clipped.,Recover source text and source shape later.
31,POLICY_LEVEL_3,DEFERRED_OTHER_MODEL,,,,Component Definition work is separate from the Catalog Topic increment and the path is clipped.,Resolve when Component Definition ownership is explicitly in scope.
32,POLICY_LEVEL_3_FROM_SECTION_AND_SUBSECTION_LEVELS,DEFERRED_OTHER_MODEL,,,,Descendant policy roll-up depends on Section/Sub-Section hierarchy and Component Definition ownership.,Resolve after hierarchy evidence.
